Zestaw,Liczba_zadan,Liczba_maszyn,Cmax_bezPrzezbrojen,T_bezPrzezbrojen,Cmax_zPrzezbrojeniami,T_zPrzezbrojeniami,Przezbrojenia
1,50,5,2762.0,13.940130233764648,3009.0,10.901094198226929,
2,50,5,2864.0,7.912620306015015,3120.0,10.611891269683838,
3,50,5,2836.0,8.436410188674927,3092.0,18.394290447235107,
4,20,5,1081.0,1.227034091949463,1254.0,0.6296210289001465,
5,20,5,1298.0,1.3915750980377197,1438.0,0.625817060470581,
6,20,5,1277.0,0.48914051055908203,1381.0,0.634204626083374,
7,20,5,1224.0,0.5080099105834961,1386.0,0.86836838722229,
8,20,5,1251.0,0.5232803821563721,1374.0,0.5987856388092041,
9,20,5,1207.0,0.7623291015625,1313.0,0.6360666751861572,
10,20,5,1253.0,1.0820391178131104,1369.0,0.6166918277740479,
11,20,10,1597.0,2.1393229961395264,1760.0,1.2604317665100098,
12,20,10,1720.0,1.190187931060791,1843.0,1.7285428047180176,
13,20,20,2259.0,7.16857647895813,2447.0,2.464268684387207,
14,20,20,2308.0,7.544884204864502,2453.0,2.454232931137085,
15,50,5,2621.0,7.758829116821289,2859.0,9.82330322265625,
16,50,5,2732.0,9.567140340805054,3067.0,14.264159917831421,
17,50,5,2686.0,10.014816045761108,2955.0,9.755063772201538,
18,50,10,3127.0,16.268634557724,3433.0,20.84706449508667,
19,100,5,5213.0,62.67280340194702,5714.0,93.68087458610535,
20,100,5,5251.0,73.60894823074341,5723.0,83.28030109405518,
21,2,5,230.0,0.0012729167938232422,232.0,0.0008816719055175781,
22,2,10,815.0,0.0009264945983886719,821.0,0.0011594295501708984,
23,5,5,577.0,0.008839607238769531,598.0,0.009992599487304688,
